FID,SLN,TEA,SCHOOLNAME,LEVEL_,Latitude,Longitude,ADDRESS,CITY,ZIP,PHONE,WEBSITE,NAME,mhiE,mhiM,rohhE,rohhM,tot_mf,tot_units,MAR2022,IncomeNeed,TotEvictions,EvicFilAmt,EVR
1,47,47,Franklin International Exploratory Academy Middle School,Middle,32.8855395655,-96.7845441689,6920 Meadow Rd.,Dallas,75230,9725027100,http://www.dallasisd.org/franklin,ZCTA5 75230,105045,6577,4905,572,18,4474,1353.64705882353,64975.0588235294,191,2598.52643979058,38.9398572884811
2,69,69,Seagoville Middle School,Middle,32.6819109823,-96.58334471,950 Woody Rd.,Dallas,75253,9728927100,http://www.dallasisd.org/seagovillems,ZCTA5 75253,46716,5051,2290,599,4,341,868.5,41688,252,1561.34472222222,110.043668122271
3,354,354,Kennedy-Curry Middle School,Middle,32.6609563779,-96.7578665583,6605 Sebring Dr.,Dallas,75241,9729251600,http://www.dallasisd.org/kennedycurry,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
4,62,62,Dade Middle School,Middle,32.7712122792,-96.7734135593,2727 Al Lipscomb Way,Dallas,75215,9727493800,http://www.dallasisd.org/dade,ZCTA5 75215,32077,2523,4759,504,69,3713,1018.03125,48865.5,433,2361.84223776224,90.985501155705
5,76,76,Lang Sr. Middle School,Middle,32.8017630859,-96.6867980273,1678 Chenault St.,Dallas,75228,9729252400,http://www.dallasisd.org/lang,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
6,353,353,Richards STEAM Academy Middle School,Middle,32.770022087,-96.6662960429,3831 N. Prairie Creek Rd.,Dallas,75227,9728925400,http://www.dallasisd.org/annrichards,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
7,53,53,Long Middle School,Middle,32.8069438604,-96.7502968134,6116 Reiger Ave.,Dallas,75214,9725024700,http://www.dallasisd.org/long,ZCTA5 75214,104583,16017,6648,520,135,5924,1195.30526315789,57374.652631579,327,3159.72599388379,49.187725631769
8,55,55,Rusk Middle School,Middle,32.8267180763,-96.8348718328,2929 Inwood Rd.,Dallas,75235,9729252000,http://www.dallasisd.org/rusk,ZCTA5 75235,49805,6926,6659,630,44,7701,1535.15625,73687.5,237,3890.41227848101,35.5909295690044
9,79,79,Medrano Junior High School,Middle,32.8725612346,-96.8763613526,9815 Brockbank Dr,Dallas,75220,9729251300,http://www.dallasisd.org/panchomedrano,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
10,77,77,Garcia Middle School,Middle,32.7498559088,-96.8138859057,700 E. Eighth St.,Dallas,75203,9725025500,http://www.dallasisd.org/garcia,ZCTA5 75203,40079,3972,3996,340,99,4604,962.62,46205.76,275,3425.9347601476,68.8188188188188
11,68,68,Quintanilla Sr. Middle School STEAM Academy,Middle,32.7619699922,-96.8656663639,2700 Remond Dr.,Dallas,75211,9725023200,http://www.dallasisd.org/quintanilla,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
12,59,59,Stockard Middle School,Middle,32.7228003805,-96.8673084867,2300 S. Ravinia Dr.,Dallas,75211,9727945700,http://www.dallasisd.org/stockard,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
13,48,48,Gaston Middle School,Middle,32.8247687129,-96.6940855694,9565 Mercer Dr.,Dallas,75228,9725025400,http://www.dallasisd.org/gaston,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
14,50,50,Hill Middle School,Middle,32.8554461204,-96.7041449281,505 Easton Rd.,Dallas,75218,9725025700,http://www.dallasisd.org/hill,ZCTA5 75218,95500,11196,3443,326,12,2490,1309.1,62836.8,122,2241.14827868852,35.4342143479524
15,72,72,Todd Sr. Middle School,Middle,32.6913104804,-96.7825493869,2445 E. Ledbetter Dr.,Dallas,75216,9727493600,http://www.dallasisd.org/todd,ZCTA5 75216,31063,2551,9318,699,33,4216,954.620689655173,45821.7931034483,752,2382.64582109479,80.7040137368534
16,43,43,Browne Middle School,Middle,32.6968181193,-96.8762850952,3333 Sprague Dr.,Dallas,75233,9725052500,http://www.dallasisd.org/browne,ZCTA5 75233,57018,10050,2441,367,9,2104,1056.11111111111,50693.3333333333,261,2769.82607692308,106.923392052438
17,100,100,Holmes Jr. Middle School,Middle,32.7109491272,-96.868483851,2939 St. Rita Dr.,Dallas,75233,2149327800,http://www.dallasisd.org/zwholmes,ZCTA5 75233,57018,10050,2441,367,9,2104,1056.11111111111,50693.3333333333,261,2769.82607692308,106.923392052438
18,284,284,Personalized Learning Academy at Highland Meadows,Elementary,32.8705868973,-96.687854934,8939 Whitewing Lane,Dallas,75238,9725025200,http://www.dallasisd.org/hmeadows,ZCTA5 75238,68361,8589,6411,453,29,7113,1221.73076923077,58643.0769230769,684,2611.82817914831,106.691623771642
19,280,280,Frank Elementary School,Elementary,32.9477585157,-96.8179082651,5201 Celestial Rd.,Dallas,75254,9725025900,http://www.dallasisd.org/frank,ZCTA5 75254,62569,5634,8958,743,37,10980,1514.2,72681.6,532,2249.75314990512,59.3882563072114
20,169,169,Kramer Elementary School,Elementary,32.9022179591,-96.7832749525,7131 Midbury Dr.,Dallas,75230,9727948300,http://www.dallasisd.org/kramer,ZCTA5 75230,105045,6577,4905,572,18,4474,1353.64705882353,64975.0588235294,191,2598.52643979058,38.9398572884811
21,167,167,Kleberg Elementary School,Elementary,32.6843439312,-96.6004923657,1450 Edd Rd.,Dallas,75253,9727496500,http://www.dallasisd.org/kleberg,ZCTA5 75253,46716,5051,2290,599,4,341,868.5,41688,252,1561.34472222222,110.043668122271
22,187,187,Moseley Elementary School,Elementary,32.6893560789,-96.6423472979,10400 Rylie Rd.,Dallas,75217,9727496700,http://www.dallasisd.org/moseley,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
23,305,305,Halliday Elementary School,Elementary,32.6751280747,-96.6457861299,10210 Teagarden Rd.,Dallas,75217,9729251800,http://www.dallasisd.org/ebbyhalliday,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
24,142,142,Ervin Elementary School,Elementary,32.6796411346,-96.762225544,3722 Black Oak Dr.,Dallas,75241,9727493700,http://www.dallasisd.org/ervin,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
25,301,301,Wilmer-Hutchins Elementary School,Elementary,32.6541887595,-96.7276952776,7475 J.J. Lemmon Rd.,Dallas,75241,9729252600,http://www.dallasisd.org/wilmerhutchinses,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
