SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
101,John Adams Elementary,7341.36,0.242751411182669,823.6994,855.9417,1975.3112,1172.16666666667,56296.1666666667,0.000527736005317816,0.099609064260573,0.0764806384648076,0.817737081412708,4,63,649,31152,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21
103,Allen Charter,2256.4317,0.20794278860734,191.996,215.5292,638.6604,1106.4,56215.4,4.83949946280226e-05,0.14408670113968,0.0371833545859155,0.818115788747339,2,286,1080,51840,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23
104,Anderson Elementary,6514.8432,0.253918313797637,893.859,377.5902,1500.7776,1078.2,54424.4,0.000615870540061501,0.0892454172956918,0.0359433976860717,0.87190517493959,3,354,1206.33333333333,57904,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16
105,Arcadia Park Elementary,4368.4213,0.337042217059055,713.2283,969.8519,1342.1036,1198.75,48187.25,0.00941839103293448,0.147855519338302,0.0371372834392141,0.77198392014067,3,698,1210.5,58104,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25
107,May Elementary,16317.7244,0.181511504140859,1352.1162,5886.6621,6357.6423,1399.69230769231,69977.2857142857,0.0720775440967737,0.101891584833974,0.166903180445921,0.645501054056287,27,3254,1095.5,52584,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69
108,Bayles Elementary,8965.7049,0.169663324520083,698.6615,1428.8706,2927.3955,1281.625,62018.125,0.0045758811446047,0.124029790451836,0.222073693279822,0.62745237131327,14,1396,1186.5,56952,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40
109,Blair Elementary,4906.2724,0.296883291681889,348.6125,670.5582,1372.0809,1195.6,46672.8,0.0187771677740518,0.276732861387802,0.0542192683797989,0.649610160251192,3,542,969,46512,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23
110,Blanton Elementary,9941.7616,0.223169503481154,882.9145,1723.0234,3119.2069,1214.125,51340.625,0.00530915969660749,0.222198438152047,0.0449167177776623,0.727058693501562,7,455,935.333333333333,44896,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28
112,Bowie Elementary,3698.4721,0.201708159431566,371.7778,1103.1938,1373.7027,1243.75,58329.75,0.0292300704390875,0.0993610307348269,0.101770377015957,0.754993041586011,70,1407,1029.51612903226,49416.7741935484,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25
114,Bryan Elementary,5504.3212,0.268459351536389,531.2335,781.5391,1922.8672,1081.16666666667,40633.1666666667,0.0025700171712363,0.510457238578301,0.0249337193476282,0.453961480300241,3,169,688.5,33048,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29
