SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,evicRate,schoolType
101,John Adams Elementary,2017-2018,41,785.015609756098,2017,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,47.90045864105,Elementary School
101,John Adams Elementary,2018-2019,39,896.025641025641,2018,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,45.5638509024622,Elementary School
101,John Adams Elementary,2019-2020,10,1215.5,2019,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,11.683038692939,Elementary School
101,John Adams Elementary,2020-2021,9,1705.03888888889,2020,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,10.5147348236451,Elementary School
101,John Adams Elementary,2021-2022,18,2014.5,2021,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,21.0294696472902,Elementary School
101,John Adams Elementary,2022-2023,21,2785.22368421053,2022,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,24.5343812551719,Elementary School
101,John Adams Elementary,2023-2024,37,3180.79,2023,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,43.2272431638744,Elementary School
101,John Adams Elementary,2024-2025,14,2044.9725,2024,855.9417,0.0808080808080808,0.0700280112044818,0.0516431924882629,0.0501193317422434,16,25,11,21,16.3562541701146,Elementary School
103,Allen Charter,2017-2018,11,909.090909090909,2017,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,51.0371680496193,Elementary School
103,Allen Charter,2018-2019,13,345.769230769231,2018,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,60.3166531495501,Elementary School
103,Allen Charter,2019-2020,10,2188.56,2019,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,46.3974254996539,Elementary School
103,Allen Charter,2020-2021,24,557.142857142857,2020,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,111.353821199169,Elementary School
103,Allen Charter,2021-2022,20,1102.125,2021,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,92.7948509993078,Elementary School
103,Allen Charter,2022-2023,20,1461.4,2022,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,92.7948509993078,Elementary School
103,Allen Charter,2023-2024,42,2127.78148148148,2023,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,194.869187098546,Elementary School
103,Allen Charter,2024-2025,11,1768.59833333333,2024,215.5292,0.0344827586206897,0.0687285223367698,0.10126582278481,0.0807017543859649,5,20,16,23,51.0371680496193,Elementary School
104,Anderson Elementary,2017-2018,32,811.115,2017,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,84.747962208765,Elementary School
104,Anderson Elementary,2018-2019,32,806.7540625,2018,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,84.747962208765,Elementary School
104,Anderson Elementary,2019-2020,19,752.336842105263,2019,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,50.3191025614542,Elementary School
